run_id,test_type,raw_temp,avg_temp,latency_us,free_heap,heap_used
101,wasm,1800,360,421,365672,99064
102,wasm,1800,360,422,365672,99064
103,wasm,1800,360,422,365672,99064
104,wasm,1800,360,422,365672,99064
105,wasm,1800,360,421,365672,99064
106,wasm,1800,360,421,365672,99064
107,wasm,1800,360,421,365672,99064
108,wasm,1800,360,421,365672,99064
109,wasm,1800,360,421,365672,99064
110,wasm,1800,360,421,365672,99064
1,native,1800,360,390,457596,18224
2,native,1800,360,390,457596,18224
3,native,1800,360,390,457596,18224
4,native,1800,360,390,457596,18224
5,native,1800,360,390,457596,18224
6,native,1800,360,390,457596,18224
7,native,1800,360,390,457596,18224
8,native,1800,360,390,457596,18224
9,native,1800,360,390,457596,18224
10,native,1800,360,390,457596,18224
